E000		｛㇯𦮙艹｝（癸小篆）
EB4F		｛⿱山⿸𠂇目｝
EB50		𫵼
EB51		𡹴
EB52		｛⿱山眉｝
EB53		𡺠
EB54		𡺪
EB55		𡻕
EB56		𡼼
EB57		𡼴
EB58		𡽗
EB59		𡽺
EB5A		𡽹
EB5B		｛⿰⿵𡶔𡭕羽｝
EB5C		｛⿱山𫿞｝
EB5D		𥜿
EB5E		𥻘
EB5F		｛⿱氶巴｝
EB60		𢁙
EB61		𢁥
EB62		｛⿰巾⿱八𠃔｝
EB63		𮧯
EB64		𢃄
EB65		｛⿱𠔿幕｝
EB66		｛⿰巾⿱𠂉番｝
EB67		𭘻
EB68		｛⿰巾𭂅｝
EB69		𤮽
EB6A		𢇛
EB6B		𢇮
EB6C		｛⿸广互｝
EB6D		｛⿸广⿸肀丶｝
EB6E		｛⿸广𤰞｝
EB6F		𢈔
EB70		𢈲
EB71		𢈠
EB72		𢉖
EB73		｛⿸广⿱龷火｝	𢉙
EB74		𫝶
EB75		｛⿸㇯鹿比⿱乛友｝
EB76		𢊆
EB77		𢊍
EB78		｛⿸广𭭋｝
EB79		｛⿸广⿱业𭚧｝
EB7A		｛⿸㢈心｝
EB7B		｛⿸㢈月｝
EB7C		𱝍
EB7D		｛⿸麻止｝
EB7E		｛⿸广兾｝
EB7F		｛⿸广⿱面示｝
EB80		𢋫
EB81		𢋨
EB82		𢋸
EB83		𧸛
EB84		｛⿸庶䖵｝
EB85		｛⿺辶龵｝	𮷞
EB86		𢌞
EB87		｛⿺廴向｝
EB88		𮩴
EB89		𢍆
EB8A		𢍜
EB8B		｛⿱乛丂｝
EB8C		𢎪
EB8D		𪪺
EB8E		｛⿰弓𤣥｝
EB8F		｛⿰弓⿷𤓰丿｝
EB90		𭚱
EB91		𤼵
EB92		𥝃
EB93		𭛌
EB94		｛⿱彐𧰨｝
EB95		𢒈
EB96		｛⿰𮯱彡｝
EB97		｛⿰幵彡｝
EB98		𩓾
EB99		𭛠
EB9A		｛⿰彳⿱䒑㇯𠯁口｝
EB9B		｛⿰彳⿱ス土｝
EB9C		｛⿴行彡｝
EB9D		｛⿴行𤣥｝
EB9E		｛⿰彳囬｝
EB9F		𢓲
EBA0		｛⿰彳⿱幺月｝
EBA1		𢓺
EBA2		｛⿰彳𨈡｝
EBA3		𮋹
EBA4		𢗅
EBA5		｛⿱亾心｝
EBA6		｛⿱刅心｝
EBA7		𪫟
EBA8		𢗊
EBA9		｛⿰忄⿱ス土｝
EBAA		𢘗
EBAB		𪫬
EBAC		𢘆
EBAD		𢘤
EBAE		𢘅
EBAF		𢙢
EBB0		𢙀
EBB1		｛⿳丿囙心｝
EBB2		｛⿱㳄心｝
EBB3		𢚩
EBB4		𰩍
EBB5		𢝼
EBB6		𢜺
EBB7		｛⿰忄𠫵｝
EBB8		｛⿰忄⿱㇯甫丶寸｝
EBB9		｛⿰忄𭦗｝	𭞙
EBBA		𢣢
EBBB		｛⿰忄旣｝
EBBC		𢢑
EBBD		𢠢
EBBE		𢡚
EBBF		𱟊
EBC0		𭞹
EBC1		𢡟
EBC2		𢡖
EBC3		𤹯
EBC4		𢡆
EBC5		𢢽
EBC6		｛⿰忄觧｝
EBC7		𢣺
EBC8		｛⿱賏心｝
EBC9		｛⿰忄㚄｝
EBCA		｛⿰忄頼｝
EBCB		𢥠
EBCC		｛⿹戈㇯幺丶｝
EBCD		｛⿹戈止｝
EBCE		𫻪
EBCF		𢧐
EBD0		｛⿰歺戔｝
EBD1		｛㇯𮐼艹｝
EBD2		𢧵
EBD3		｛⿰⿱羽尒戈｝
EBD4		𭟼
EBD5		｛⿱戚𠯁｝
EBD6		｛⿸户九｝
EBD7		𢨺
EBD8		𭠘
EBD9		｛⿰扌𤓰｝
EBDA		｛⿰扌⿱𠂉几｝
EBDB		𢫎
EBDC		｛⿰扌䏍｝
EBDD		｛⿰扌𭥍｝
EBDE		｛⿰扌𠯓｝
EBDF		｛⿰扌𭥐｝
EBE0		｛⿰扌冞｝
EBE1		𢮓
EBE2		𢯦
EBE3		｛⿰扌⿱彐𧰨｝
EBE4		｛⿱⿰臣⿱𠂉丶手｝	𢱯
EBE5		｛⿰扌⿳龹丶龴｝
EBE6		｛⿰扌𠫵｝
EBE7		𢰅
EBE8		𭡠
EBE9		𢱲
EBEA		𢴄
EBEB		｛⿰扌⿱斤言｝
EBEC		｛⿰冫昜｝
EBED		𢳣
EBEE		｛⿰扌⿳丆月⿱冖友｝
EBEF		｛⿰扌棄｝
EBF0		𪮫
EBF1		｛⿰扌䑓｝
EBF2		｛⿰扌𭀰｝
EBF3		𢹂
EBF4		𭣄
EBF5		｛⿰至支｝
EBF6		𫾣
EBF7		｛⿰區支｝
EBF8		𭣣
EBF9		｛⿰⿱八𠃔攵｝	𢼠
EBFA		｛⿰古攴｝
EBFB		｛⿰兊攵｝
EBFC		𦤺
EBFD		｛⿰𡥈攵｝
EBFE		𫾻
EBFF		𢜤
EC00		｛⿱𠔿敕｝
EC01		｛⿰婁⿱𠚤又｝
EC02		𫿞
EC03		𭤑
EC04		｛⿳䒑⿲止自匕⿱八夂｝
EC05		𭤔
EC06		𣂏
EC07		𣃁
EC08		𣃔
EC09		𣃼
EC0A		𭥆
EC0B		𣄣
EC0C		𭥍
EC0D		｛⿱日匂｝
EC0E		𣅧
EC0F		｛⿰日臣｝
EC10		𣈆
EC11		｛⿰日⿳龷龷一｝
EC12		｛⿰㠯昜｝
EC13		𣉙
EC14		𭧂
EC15		｛⿰日𡨋｝
EC16		𣊺
EC17		𣊬
EC18		｛⿰日𦻏｝
EC19		｛⿰日⿱𣅽𪵪｝
EC1A		｛㇯㤤忄｝
EC1B		𭥦
EC1C		｛⿱日黽｝
EC1D		𦌘
EC1E		𭧽
EC1F		｛⿱日㇯𦻏艹｝
EC20		｛⿱𣅽𪵪｝
EC21		𦘺
EC22		𦙄
EC23		｛⿰月𤓰｝
EC24		𦙑
EC25		｛⿰月⿷𤓰丿｝
EC26		｛⿱⿹勹⿺𠃊乂月｝
EC27		｛⿰䏍长｝
EC28		𦚾
EC29		｛⿰月㇯㤤忄｝
EC2A		𦙼
EC2B		𦊰
EC2C		𦚧
EC2D		𦚟
EC2E		𦜶
EC2F		｛⿰月⿱氶巴｝
EC30		𦝫
EC31		｛⿰月𭜮｝
EC32		𰯌
EC33		｛⿰月⿱羽尒｝
EC34		𦠄
EC35		𦠊
EC36		𭩚
EC37		𣐈
EC38		｛⿰木𣄼｝
EC39		｛⿰木𠮲｝
EC3A		𣑯
EC3B		｛⿰木㐪｝
EC3C		𣑽
EC3D		𣒏
EC3E		｛⿰木𨐌｝
EC3F		｛⿱𫼉木｝
EC40		𢽳
EC41		𬃷
EC42		｛⿰木莭｝
EC43		𣗥
EC44		𣗳
EC45		｛⿰木𨈡｝
EC46		𭫪
EC47		｛⿰木睂｝
EC48		𫞐
EC49		｛⿳𰀉冖⿱处木｝
EC4A		｛⿰木厯｝
EC4B		｛⿰柰籴｝
EC4C		𭬒
EC4D		𭬚
EC4E		𣞸
EC4F		𣞶
EC50		𣠄
EC51		｛⿳棥冖⿰艮彡｝
EC52		｛⿰木𮗜｝
EC53		𣡡
EC54		𣡵
EC55		𣡸
EC56		𣢾
EC57		𰙔
EC58		｛⿰豈欠｝
EC59		𭭔
EC5A		𣤛
EC5B		𭭕
EC5C		𩐋
EC5D		𣥅
EC5E		𣆟
EC5F		𣨪
EC60		𩐁
EC61		｛⿰歹賛｝
EC62		𭯉
EC63		𣭆
EC64		𣰉
EC65		𣰆
EC66		𬇇
EC67		𰚾
EC68		𮳃
EC69		｛⿰氵𤣥｝
EC6A		｛⿰氵丐｝
EC6B		｛⿰氵𢎞｝
EC6C		𣲙
EC6D		𣳚
EC6E		｛⿰月専｝
EC6F		𭰁
EC70		｛⿰氵夘｝
EC71		｛⿰汜力｝	𪵶
EC72		｛⿰氵⿷爪丿｝
EC73		𣲲
EC74		𬇞
EC75		｛⿰氵𠮦｝
EC76		｛⿰氵匃｝
EC77		𣲺
EC78		｛⿰氵㕣｝
EC79		｛⿰氵幵｝
EC7A		𣴛
EC7B		｛⿰氵𡵯｝
EC7C		𭰖
EC7D		𣵠
EC7E		𣵦
EC7F		｛⿰氵𠔏｝
EC80		𪶁
EC81		｛⿰氵曵｝
EC82		𣵀
EC83		𭰗
EC84		𭰹
EC85		𣶢
EC86		｛⿰氵𧈧｝	𣹑
EC87		𭰫
EC88		｛⿰氵扵｝
EC89		｛⿰氵⿳亠厶丹｝
EC8A		鿌
EC8B		𣸸
EC8C		𱧈
EC8D		㴠
EC8E		𣸢
EC8F		｛⿰氵⿱𱐔心｝
EC90		𰜨
EC91		｛⿰氵⿵戊⿱一𣥂｝
EC92		𣺫
EC93		｛⿰氵⿱爫𠙻｝
EC94		𣸧
EC95		｛⿰氵⿱口肎｝
EC96		｛⿰氵釡｝
EC97		𣻌
EC98		｛⿱⿰丬寽水｝
EC99		𣹢
EC9A		｛⿰氵曺｝
EC9B		𣻉
EC9C		𣹱
EC9D		｛⿰氵𦍤｝
EC9E		𣺯
EC9F		｛⿰氵𰙩｝
ECA0		｛⿰氵𡨋｝
ECA1		𣻜
ECA2		｛⿰氵⿱杳小｝
ECA3		𣾘
ECA4		｛⿰氵⿸虍旦｝
ECA5		𰜵
ECA6		𰜹
ECA7		｛⿰氵⿱亩日｝
ECA8		｛⿰氵⿱龷隹｝
ECA9		𣽸
ECAA		𣽎
ECAB		𣽃
ECAC		𣽂
ECAD		｛⿰氵⿵𡶔𡭕｝
ECAE		｛⿰氵⿱𭑈日｝
ECAF		｛⿰氵⿱來⺗｝
ECB0		𱩄
ECB1		𣾀
ECB2		𪷤
ECB3		𣾨
ECB4		｛⿰氵鳯｝
ECB5		｛⿰氵厯｝
ECB6		𪷟
ECB7		｛⿰氵⿱𭑈𣄼｝
ECB8		｛⿰氵閠｝
ECB9		𤁋
ECBA		｛⿰氵⿳廿⿻口土灬｝
ECBB		𤂢
ECBC		𤂱
ECBD		｛⿰氵⿱𣅽𪵪｝
ECBE		𤄊
ECBF		𤄬
ECC0		𤄵
ECC1		𪄠
ECC2		𤅈
ECC3		𤅀
ECC4		｛⿱火几｝	灮
ECC5		｛⿱无灬｝	炁
ECC6		｛⿰火𤣥｝
ECC7		𤇍
ECC8		𤇆
ECC9		𢇁
ECCA		𤇺
ECCB		𮫬
ECCC		𤋲
ECCD		𤊟
ECCE		𤊙
ECCF		𤉷
ECD0		｛⿱亯灬｝
ECD1		｛⿰火専｝
ECD2		𤋎
ECD3		｛⿱𤇾王｝
ECD4		𭵶
ECD5		𦎟
ECD6		𤎅
ECD7		｛⿱𤇾由｝
ECD8		𤍠
ECD9		𤍨
ECDA		𡦦
ECDB		｛⿰火⿱𠧧土｝	𤎆
ECDC		｛⿺黒幼｝
ECDD		𤏖
ECDE		｛⿺黒占｝
ECDF		𤎥
ECE0		｛⿺熏力｝
ECE1		｛⿰火棄｝
ECE2		𤑻
ECE3		𭶑
ECE4		𤐰
ECE5		𤒄
ECE6		𦦨
ECE7		｛⿰𮫬⿱从干｝
ECE8		𭶚
ECE9		｛⿰火⿳日𠈌亏｝
ECEA		｛⿷𤓰丿｝
ECEB		｛⿺𤓰巴｝
ECEC		𬋩
ECED		｛⿰⿳爫龴𠕁乚｝
ECEE		𤔫
ECEF		｛⿳𱬹罒又｝
ECF0		｛⿰爿大｝
ECF1		｛⿰爿术｝
ECF2		｛⿰爿⿱⿻土吅回｝
ECF3		𢦤
ECF4		𤗉
ECF5		𤗒
ECF6		｛⿰片总｝
ECF7		𤗯
ECF8		｛⿰含牙｝
ECF9		𡠉
ECFA		𤛆
ECFB		𣯛
ECFC		𨤲
ECFD		𣀗
ECFE		｛⿳厸冖牛｝
ECFF		𤛓
ED00		｛⿰犭⿷𤓰丿｝
ED01		｛⿰犭宂｝
ED02		𤱶
ED03		𤟙
ED04		｛⿰犭⿱口肎｝
ED05		｛⿰𭥯犬｝
ED06		𩫈
ED07		𤢜
ED08		｛⿰犭頼｝
ED09		｛⿰王乆｝
ED0A		𤤴
ED0B		𭹀
ED0C		𤥨
ED0D		𤦛
ED0E		𤦺
ED0F		𭹰
ED10		𤨿
ED11		｛⿰王⿱龷隹｝
ED12		｛⿰王𣓨｝
ED13		｛⿰王⿳十罒衣｝
ED14		𤩶
ED15		𤩰
ED16		𱯯
ED17		𤪙
ED18		｛⿰王𤔫｝
ED19		𤭁
ED1A		𤭏
ED1B		𤭛
ED1C		𤮕
ED1D		｛⿺㒸生｝	𬎼
ED1E		𢌿
ED1F		𭻍
ED20		｛⿱⿰𠂎巳田｝
ED21		｛⿸疒⿱𡗜土｝
ED22		｛⿸疒查｝
ED23		𤸃
ED24		｛⿸疒段｝
ED25		｛⿸疒邕｝
ED26		｛⿸疒莭｝
ED27		｛⿸疒⿱㇯脊月目｝
ED28		𭼠
ED29		｛⿸疒衆｝
ED2A		｛⿸疒厯｝
ED2B		｛⿸疒𨼆｝
ED2C		𤻞
ED2D		𭼰
ED2E		｛⿸疒頺｝
ED2F		｛⿸疒頼｝
ED30		𣪞
ED31		𤾂
ED32		𩲸
ED33		𤾾
ED34		𥀷
ED35		｛⿱⿵乃𰀁皿｝
ED36		｛⿱股皿｝
ED37		𰤾
ED38		𥂐
ED39		｛⿱⿰臣⿱𠂉⺀皿｝	𭾋
ED3A		𥂟
ED3B		𬐱
ED3C		𱲛
ED3D		𧰚
ED3E		𧰟
ED3F		｛⿰目𤣥｝
ED40		𦒿
ED41		｛⿱㇯脊月目｝
ED42		｛⿱目兆｝
ED43		𪔂
ED44		𥆨
ED45		𥆳
ED46		𥈑
ED47		𥉂
ED48		𥈤
ED49		｛⿱䀠瓦｝
ED4A		𭿜
ED4B		𥊑
ED4C		𦉍
ED4D		𥋋
ED4E		𥋍
ED4F		𥋏
ED50		𥌓
ED51		𥌒
ED52		𥌣
ED53		𥎊
ED54		𥎞
ED55		𥐊
ED56		𥒐
ED57		𥓁
ED58		𥓋
ED59		𥕂
ED5A		｛⿰石寉｝
ED5B		𮁌
ED5C		𥖎
ED5D		𡕎
ED5E		𥗼
ED5F		𥘉
ED60		𬒳
ED61		𫀆
ED62		𥙊
ED63		𥘿
ED64		𥙷
ED65		𥚃
ED66		𥚢
ED67		｛⿰礻曷｝
ED68		𥚑
ED69		𥚽
ED6A		｛⿰礻复｝
ED6B		𥚹
ED6C		𠏉
ED6D		｛⿰𥘈⿱人米｝
ED6E		｛⿰礻集｝
ED6F		𬓛
ED70		｛⿰礻兾｝	𱵲
ED71		𥝠
ED72		｛⿰𥝍戈｝
ED73		𮮐
ED74		𥟀
ED75		𥞫
ED76		｛⿰禾⿳一八冄｝
ED77		𥟱
ED78		𥠖
ED79		｛⿱𥝢⿸厂牛｝
ED7A		𬓲
ED7B		｛⿰禾⿵𡶔𡭕｝
ED7C		｛⿰委⿱田𡴾｝
ED7D		𥣬
ED7E		｛⿱穴之｝
ED7F		𥥆
ED80		𰩇
ED81		｛⿳穴八夕｝
ED82		𰩍
ED83		𥦖
ED84		𥧌
ED85		｛⿱穴⿰丬𠬶｝
ED86		𮄑
ED87		𫁘
ED88		𥨊
ED89		𥨸
ED8A		𨐌
ED8B		𥪡
ED8C		𥫽
ED8D		𥬇
ED8E		｛⿱𥫗田｝
ED8F		𥬸
ED90		｛⿱𥫗困｝
ED91		𥯃
ED92		𮅕
ED93		｛⿱𥫗矦｝
ED94		𥮅
ED95		｛⿳𥫗彐𧰨｝
ED96		｛⿳𱷳大么｝
ED97		｛⿱𥫗逄｝
ED98		𥰒
ED99		𫂙
ED9A		𥲤
ED9B		𥳑
ED9C		｛⿱𥫗⿸厃⿱八𢀛｝
ED9D		｛⿳𥫗⿻土从⿱八石｝
ED9E		𬖂
ED9F		𥷑
EDA0		｛⿱𥫗頼｝
EDA1		｛⿱𥫗橊｝
EDA2		｛⿱𥫗邉｝
EDA3		𥹭
EDA4		𥺤
EDA5		𥻅
EDA6		𥻟
EDA7		𥼶
EDA8		｛⿰米厭｝
EDA9		｛⿰糹丐｝
EDAA		𥾝
EDAB		｛⿰糹𤣥｝
EDAC		｛⿹⿽𫠠小糸｝
EDAD		｛⿰糹𮎛｝
EDAE		｛⿰糹⿱ス土｝
EDAF		｛⿰糹冊｝	𥿑
EDB0		𥿄
EDB1		𥿊
EDB2		𥿈
EDB3		｛⿰糹㒺｝
EDB4		𬗟
EDB5		𦁛
EDB6		｛⿰糹専｝
EDB7		𫃵
EDB8		｛⿰糹𫥎｝	𦂯
EDB9		𦂐
EDBA		｛⿰糹逄｝
EDBB		｛⿰糹⿱𢆶匹｝
EDBC		｛⿰糹⿳丿囙心｝
EDBD		｛⿰糹⿹𢦏丘｝
EDBE		｛⿰糹𨈡｝
EDBF		｛⿰糹㪚｝
EDC0		｛⿰糹⿱羽𠇍｝
EDC1		｛⿰糹𠪨｝	𬘉
EDC2		𦆵
EDC3		｛⿸⺶匕｝
EDC4		｛⿳业𢆉𦔮｝
EDC5		𦏵
EDC6		𦐂
EDC7		𦐊
EDC8		𦐠
EDC9		𦒎
EDCA		｛⿰嵗羽｝
EDCB		𦒘
EDCC		𫆀
EDCD		｛⿰耳𡿨｝
EDCE		𦔳
EDCF		𱻸
EDD0		𦕅
EDD1		𦕃
EDD2		𦖠
EDD3		𦗟
EDD4		｛⿱⿰户又聿｝
EDD5		𦘕
EDD6		｛⿰臣⿳𠂉丶𫩏｝
EDD7		𦤀
EDD8		｛⿱自夲｝
EDD9		｛⿰⿱𠀇勿攵｝
EDDA		｛⿱自幸｝
EDDB		｛⿰舟㕣｝
EDDC		𦨻
EDDD		𦨵
EDDE		｛⿰舟秋｝
EDDF		｛⿰舟曾｝
EDE0		𫇢
EDE1		𦫼
EDE2		｛⿱卝干｝
EDE3		𦬆
EDE4		｛⿱艹𤓰｝
EDE5		𢘿
EDE6		𫟍
EDE7		｛⿱艹囘
EDE8		𫇮
EDE9		𦭘
EDEA		𦬼
EDEB		𮎰
EDEC		𦮕
EDED		｛⿱艹⿰氵亾｝
EDEE		｛⿱艹𤰞｝
EDEF		𤰇
EDF0		𦱤
EDF1		｛⿱艹㳄｝
EDF2		𤰈
EDF3		𦯶
EDF4		𮏄
EDF5		｛⿱艹⿰丨臣｝
EDF6		｛⿳艹日匂｝
EDF7		｛⿱苑土｝
EDF8		龿
EDF9		｛⿱艹眀｝
EDFA		｛⿳艹㇯甫丶寸｝
EDFB		𦵔
EDFC		𫈣
EDFD		𦴻
EDFE		｛⿱艹⿰丬寽｝
EDFF		｛⿱茲心｝
EE00		𮐃
EE01		𦷾
EE02		｛⿱艹𭁵｝
EE03		𮐖
EE04		𡠜
EE05		｛⿳艹𠔿伐｝
EE06		｛⿱艹逄｝
EE07		｛⿱艹恵｝
EE08		｛⿱艹𦒿｝
EE09		｛⿱𦭳尒｝
EE0A		｛⿱艹⿻𠈌𰀁｝
EE0B		｛⿱艹𭦟｝
EE0C		｛⿱艹厯｝
EE0D		𫉬
EE0E		𦼮
EE0F		｛⿱艹觧｝
EE10		｛⿱艹⿰𧾷⿱𠫔𫶧｝
EE11		｛⿵㇯𮐼𮍌貝｝
EE12		𮒃
EE13		𤑔
EE14		｛⿱艹㣲｝
EE15		𧁧
EE16		｛⿱艹⿰⿳⺈田大禾｝
EE17		｛⿱艹⿺辶䖏｝
EE18		𬋖
EE19		𧁑
EE1A		𧂭
EE1B		｛⿳𦭝冖⿳八𠀎𧘇｝
EE1C		𧄒
EE1D		｛⿱雚臼｝
EE1E		｛⿳𦭝冖⿳吅𠀎𧘇｝
EE1F		｛⿱艹靃｝
EE20		𧆛
EE21		𧆞
EE22		｛⿸虍𠀌｝
EE23		𧆟
EE24		｛⿰⿱爫丂虎｝
EE25		｛⿰虚亏｝	𧇊
EE26		｛⿰虗亐｝
EE27		｛⿸虍⿱⿻又丷目｝
EE28		𧇾
EE29		𧊵
EE2A		𧋍
EE2B		𧏙
EE2C		𧎚
EE2D		𧎂
EE2E		𧍝
EE2F		𧑃
EE30		｛⿰虫𡨋｝
EE31		𧏾
EE32		𧓃
EE33		𧒒
EE34		｛⿱觧虫｝
EE35		｛⿱䖝⿰䖝䖝｝
EE36		｛⿳㚘日䖵｝
EE37		𧕪
EE38		𧖟
EE39		｛⿱一𧘇｝
EE3A		｛⿰衤义｝
EE3B		｛⿴衣⿱八失｝
EE3C		｛⿴衣壮｝
EE3D		｛⿱亠𮕹｝
EE3E		𧚌
EE3F		𧝬
EE40		𧜟
EE41		｛⿰𦚏⿱巳衣｝	𥫄
EE42		𧞬
EE43		𮖽
EE44		𤫽
EE45		𧠺
EE46		｛⿰靣見｝
EE47		𮗜
EE48		𮗚
EE49		𮗪
EE4A		｛⿰角⿷𤓰丿｝
EE4B		｛⿰角⿱巳㐄｝
EE4C		𧦬
EE4D		｛⿰言𠮦｝
EE4E		𧦪
EE4F		｛⿰言⿱八𠃔｝
EE50		𧦴
EE51		𧦽
EE52		𮘈
EE53		｛⿰言𭥍｝
EE54		｛⿰言𭑃｝
EE55		𧨏
EE56		｛⿰言𦔮｝
EE57		𧩂
EE58		｛⿰言⿳亠厶冉｝
EE59		𧫎
EE5A		｛⿰言⿱羽尒｝	𮘸
EE5B		𧬄
EE5C		𧬈
EE5D		𧬒
EE5E		𧮂
EE5F		𧮭
EE60		𫎇
EE61		𧲣
EE62		𧴀
EE63		𧴆
EE64		𧴛
EE65		𫾻
EE66		𠭁
EE67		｛⿱刀貝｝
EE68		｛⿹⿽弋二貝｝
EE69		｛⿱兓貝｝	𮚋
EE6A		｛⿱㳄貝｝
EE6B		𮚐
EE6C		｛⿰貝⿹戈止｝
EE6D		｛⿰貝⿱㇯甫丶寸｝
EE6E		｛⿰𱼧責｝	𧷤
EE6F		｛⿰貝專｝
EE70		𧷢
EE71		𧸐
EE72		𧺫
EE73		𧺥
EE74		𧻞
EE75		𧼈
EE76		𧾨
EE77		𧿁
EE78		𰸅
EE79		𧿧
EE7A		𰸉
EE7B		𨀘
EE7C		𨀛
EE7D		𨁝
EE7E		𮛫
EE7F		𨂜
EE80		｛⿰𧾷⿱㇯脊月目｝
EE81		｛⿰𧾷㳫｝
EE82		𨅶
EE83		𨇠
EE84		𨇰
EE85		𨇾
EE86		｛⿰𧾷蘭｝
EE87		𮜬
EE88		𨊩
EE89		𮜿
EE8A		𨊵
EE8B		𲄳
EE8C		𨋎
EE8D		｛⿰車⿱ス土｝
EE8E		𨋮
EE8F		｛⿲車耳𡿨｝
EE90		𮝚
EE91		𨌠
EE92		𨏥
EE93		𨏟
EE94		𨏼
EE95		｛⿺辶士｝	𨑒
EE96		𨑖
EE97		𨑙
EE98		𫐠
EE99		｛⿺辶㠯｝
EE9A		𮞉
EE9B		｛⿺辶⿱ス土｝
EE9C		｛⿺辶𡕖｝
EE9D		𨒫
EE9E		𨓍
EE9F		｛⿺辶⿱⺈⿻口人｝
EEA0		｛⿺辶⿱丿⿺圠匕｝
EEA1		𬨨
EEA2		𨔁
EEA3		𨔛
EEA4		𨔴
EEA5		𮷤
EEA6		｛⿺辶𦮔｝
EEA7		𨕖
EEA8		𨕣
EEA9		𨖟
EEAA		｛⿺辶䖏｝
EEAB		｛⿺辶處｝
EEAC		𨖍
EEAD		𮷧
EEAE		｛⿺辶寅｝
EEAF		｛⿺辶庻｝
EEB0		｛〾適｝
EEB1		𨖚
EEB2		｛⿺辶⿱亩日｝
EEB3		𮟏
EEB4		𨗇
EEB5		𨗩
EEB6		𨗿
EEB7		｛⿺辶⿱白容｝
EEB8		𫑗
EEB9		𨙱
EEBA		｛⿰龵阝｝
EEBB		𨚫
EEBC		｛⿰⿱丿击阝｝
EEBD		𨛀
EEBE		𨛦
EEBF		𨜞
EEC0		𨞅
EEC1		𨟎
EEC2		｛⿰⿱雨品阝｝
EEC3		𨠯
EEC4		｛⿰酉䘚｝
EEC5		｛⿱⿰医⿱𠂉丶酉｝
EEC6		｛⿰酉𬐚｝
EEC7		𨢑
EEC8		𨤀
EEC9		𮡧
EECA		｛⿰金𤣥｝
EECB		｛⿰金㕣｝
EECC		龯
EECD		｛⿰金𠮦｝
EECE		𨦟
EECF		｛⿰金⿸𢆍丶｝
EED0		｛⿰金⿳一八⿱八夂｝
EED1		𨧴
EED2		𨩐
EED3		𨨯
EED4		𨫼
EED5		｛⿰金𮥼｝
EED6		𨯔
EED7		𨳩
EED8		𨳲
EED9		𨶑
EEDA		𨷂
EEDB		𨷺
EEDC		𨸦
EEDD		𨸲
EEDE		𱀒
EEDF		𨹓
EEE0		𨹧
EEE1		｛⿰阝𦔮｝
EEE2		𨹘
EEE3		𨺚
EEE4		𨺗
EEE5		𨼆
EEE6		𨼢
EEE7		𮥠
EEE8		｛⿰⿱𠮦厶隹｝
EEE9		𮥼
EEEA		𮦀
EEEB		𩂅
EEEC		𩃬
EEED		𩅸
EEEE		｛⿱雨厯｝
EEEF		𩆍
EEF0		𤫊
EEF1		𮦵
EEF2		𮦷
EEF3		𩆩
EEF4		𩊅
EEF5		𩊓
EEF6		𩋾
EEF7		𩍈
EEF8		𩏂
EEF9		𩏌
EEFA		𩐿
EEFB		｛⿰⿱ス土頁｝
EEFC		｛⿰击頁｝
EEFD		𬱃
EEFE		𡡓
EEFF		｛⿰⿸丆目頁｝	𩓑
EF00		𩔗
EF01		｛⿰⿱日糸頁｝
EF02		𩔰
EF03		𩚑
EF04		𩚫
EF05		｛⿰食⿱𠂉方｝
EF06		｛⿰食⿱𠂉布｝
EF07		𩜹
EF08		𩢿
EF09		𬳮
EF0A		𩣭
EF0B		𲋼
EF0C		𮪍
EF0D		𩥦
EF0E		𲌂
EF0F		𩦲
EF10		𩦪
EF11		｛⿰馬兾｝
EF12		𮪜
EF13		𩨜
EF14		𩪝
EF15		𬴮
EF16		𩰄
EF17		𩯭
EF18		｛⿺⿱田儿丶｝
EF19		｛⿰魚𮎛｝
EF1A		𩻟
EF1B		𩼽
EF1C		𩾐
EF1D		𩿁
EF1E		𩿾
EF1F		𪁟
EF20		｛⿰⿱龷月鳥｝
EF21		𪃋
EF22		𪅂
EF23		𬷮
EF24		｛⿰⿱㇯脊月目鳥｝
EF25		｛⿰⿱龷隹鳥｝
EF26		𪇥
EF27		𪇾
EF28		𪈺
EF29		𪊽
EF2A		𪋤
EF2B		｛⿰麦丐｝
EF2C		𱋐
EF2D		𬹃
EF2E		｛⿰鼻丸｝
EF2F		𪖙
EF30		𪖵
EF31		𪙉
EF32		𪙨
EF33		𩔖
EF34		𮤑
EF35		｛⿱八勹〕
EF36		｛⿱卝⿹𠃌口｝
EF37		｛⿱丿思｝
EF38		｛⿰⿱上示欠｝
EF39		𠂞
EF3A		𠀌
EF3B		𨒪
EF3C		𨚑
EF3D		｛⿴囗専｝
EF3E		𥇀
EF3F		｛⿰扌⿱㇯甫丶寸｝
EF40		｛⿰歺朱｝
EF41		𮠑
EF42		𮲹
EF43		𠆸
EF44		｛⿸疒失｝
EF45		𡈼
EF46		𦥑
EF47		収
EF48		𠦒
EF49		𥝩
EF4A		𥝌
EF4B		𩫖
EF4C		𤔔
EF4D		𢏚
EF4E		𢆉
EF4F		臾
EF50		｛⿱小貝｝	𧴪
EF51		𤐫
EF52		｛⿱士𠔼｝	𡉉
EF53		𦘔
EF54		𠬢
EF55		𠩺
EF56		｛⿱𦥑廾｝	舁
EF57		𢌳
EF58		𣥠
EF59		𠦃
EF5A		𠔌
EF5B		｛㇯鬼丿｝
EF5C		𡘋
EF5D		｛⿰口厮｝
EF5E		𩃭
EF5F		𠆒
EF60		𢤮
EF61		𠱤
EF62		𩩌
EF63		｛⿰⿱爫夕虎｝
EF64		｛⿱䡛口｝
EF65		𬽐
EF66		｛⿰日卂｝
EF67		𠫭
