E000		｛㇯𦮙艹｝（癸小篆）
E4C5		𣔳
E4C6		☰
E4C7		☷
E4C8		☳
E4C9		☴
E4CA		☵
E4CB		☲
E4CC		☶
E4CD		☱
E4CE		䷀
E4CF		䷁
E4D0		䷂
E4D1		䷃
E4D2		䷄
E4D3		䷅
E4D4		䷆
E4D5		䷇
E4D6		䷈
E4D7		䷉
E4D8		䷊
E4D9		䷋
E4DA		䷌
E4DB		䷍
E4DC		䷎
E4DD		䷏
E4DE		䷐
E4DF		䷑
E4E0		䷒
E4E1		䷓
E4E2		䷔
E4E3		䷕
E4E4		䷖
E4E5		䷗
E4E6		䷘
E4E7		䷙
E4E8		䷚
E4E9		䷛
E4EA		䷜
E4EB		䷝
E4EC		䷞
E4ED		䷟
E4EE		䷠
E4EF		䷡
E4F0		䷢
E4F1		䷣
E4F2		䷤
E4F3		䷥
E4F4		䷦
E4F5		䷧
E4F6		䷨
E4F7		䷩
E4F8		䷪
E4F9		䷫
E4FA		䷬
E4FB		䷭
E4FC		䷮
E4FD		䷯
E4FE		䷰
E4FF		䷱
E500		䷲
E501		䷳
E502		䷴
E503		䷵
E504		䷶
E505		䷷
E506		䷸
E507		䷹
E508		䷺
E509		䷻
E50A		䷼
E50B		䷽
E50C		䷾
E50D		䷿
E50E		｛⿰木𱰭｝
E50F		𣗶
E510		𣖾
E511		𣙜
E512		𣙗
E513		𣚘
E514		𣝔
E515		𣝓
E516		𣟅
E517		𣟶
E518		𣟴
E519		𣡛
E51A		𤜞
E51B		𤟣
E51C		𤠑
E51D		𤡑
E51E		𤠯
E51F		𤠔
E520		𤠢
E521		𤠾
E522		𤢟
E523		𤢒
E524		𤢭
E525		𤣟
E526		𣧑
E527		𢦟
E528		𤘅
E529		𠢐
E52A		𡕢
E52B		𣁋
E52C		𢾅
E52D		𣉜
E52E		𣱼
E52F		𣲐
E530		𣳜
E531		𣲵
E532		𣳬
E533		𣹜
E534		𣵞
E535		𣷓
E536		𣶏
E537		𣶐
E538		𣶞
E539		𣵺
E53A		𣶈
E53B		𣸫
E53C		𣷽
E53D		𣸈
E53E		𣸓
E53F		𣸎
E540		𣺰
E541		𣻏
E542		𣹰
E543		𣻲
E544		𣽅
E545		𣽬
E546		𣽺
E547		𣿖
E548		𣿉
E549		𤀰
E54A		𤃫
E54B		𤃿
E54C		𤅢
E54D		𤅬
E54E		𤅷
E54F		𤅿
E550		𤘝
E551		𤛑
E552		𢫓
E553		𢭃
E554		𢭂
E555		𢮥
E556		𢮞
E557		𢯲
E558		𢲾
E559		𢲵
E55A		𢲸
E55B		𢵧
E55C		𢴲
E55D		𢶉
E55E		𢶅
E55F		｛⿰扌⿱夭韭｝	𢶍
E560		𢷘
E561		𢷬
E562		𢷑
E563		𢸄
E564		𢸙
E565		𢹲
E566		𢺊
E567		𢺣
E568		𣬠
E569		𣬬
E56A		𣬺
E56B		𣬶
E56C		𣭈
E56D		𱥟
E56E		𣰇
E56F		𣯩
E570		𣯶
E571		𣰅
E572		𣰨
E573		𣰦
E574		𣰽
E575		𣰿
E576		𦘪
E577		𦘴
E578		𣍤
E579		𦙀
E57A		𦙝
E57B		𣍨
E57C		𦙷
E57D		𦛗
E57E		𦚼
E57F		𦜕
E580		𦞂
E581		𦝢
E582		𣎅
E583		𦞈
E584		𦞦
E585		𦡯
E586		𦠛
E587		𦠌
E588		𣎜
E589		𦢊
E58A		𦢌
E58B		𦢸
E58C		𣎯
E58D		𦣑
E58E		𣢑
E58F		𣣑
E590		𣣷
E591		｛⿰⿱入音欠｝	𣤗
E592		𣤸
E593		𣪂
E594		𣹬
E595		𣃚
E596		𣄢
E597		𤆏
E598		𤆮
E599		𤈦
E59A		𤉣
E59B		𤊿
E59C		𤍜
E59D		𤌇
E59E		𤍽
E59F		𤋮
E5A0		𤎩
E5A1		𤏶
E5A2		𤑺
E5A3		𤒦
E5A4		𢛅
E5A5		𢛁
E5A6		𢠵
E5A7		𢢀
E5A8		𢠸
E5A9		𢥞
E5AA		𱍐
E5AB		𨽻
E5AC		𥐻
E5AD		𥐪
E5AE		𥐼
E5AF		𥑤
E5B0		𥓐
E5B1		𥔀
E5B2		𥕮
E5B3		𥕘
E5B4		𥕎
E5B5		𥖵
E5B6		𥗇
E5B7		𥗙
E5B8		𥄨
E5B9		𥅪
E5BA		𥉉
E5BB		𥌛
E5BC		𤰕
E5BD		𤰜
E5BE		𤰝
E5BF		𤱊
E5C0		𤲺
E5C1		𥏝
E5C2		𥡱
E5C3		𥢧
E5C4		𥤚
E5C5		𤬁
E5C6		𤬈
E5C7		𤬏
E5C8		𤴯
E5C9		𤵜
E5CA		𤷄
E5CB		𤸅
E5CC		𤸃
E5CD		𤸇
E5CE		𤹇
E5CF		𤸪
E5D0		𤸫
E5D1		𤹤
E5D2		𤺲
E5D3		𤺥
E5D4		𤺋
E5D5		𤼃
E5D6		𥦗
E5D7		𥨍
E5D8		𥨐
E5D9		𤿐
E5DA		𤿡
E5DB		𥀂
E5DC		𥀗
E5DD		𥀏
E5DE		𥍟
E5DF		𦓾
E5E0		𦕈
E5E1		𧇭
E5E2		𧈅
E5E3		𧈢
E5E4		𧈬
E5E5		𧈫
E5E6		𧉈
E5E7		𧉅
E5E8		𧉃
E5E9		𧉸
E5EA		𧊷
E5EB		𧊿
E5EC		𧌽
E5ED		𧌑
E5EE		𧍗
E5EF		𧌄
E5F0		𧌒
E5F1		𧍷
E5F2		𧌨
E5F3		𧍲
E5F4		𧌡
E5F5		𧍫
E5F6		𧍧
E5F7		𧍘
E5F8		𧎮
E5F9		𧏘
E5FA		𧐖
E5FB		𧐔
E5FC		𧐕
E5FD		𧐟
